wavelength	spectrum
350	0.040865384
351	5.30E-02
352	7.53E-02
353	6.38E-02
354	0.051361121
355	4.22E-02
356	5.19E-02
357	5.97E-02
358	6.32E-02
359	0.057475533
360	3.76E-02
361	3.65E-02
362	6.37E-02
363	4.55E-02
364	4.53E-02
365	0.053039975
366	3.99E-02
367	4.40E-02
368	4.79E-02
369	0.037902758
370	0.052041333
371	6.33E-02
372	6.79E-02
373	5.71E-02
374	5.38E-02
375	5.31E-02
376	4.56E-02
377	4.77E-02
378	5.28E-02
379	0.05852595
380	5.76E-02
381	5.43E-02
382	4.97E-02
383	4.67E-02
384	5.48E-02
385	6.42E-02
386	6.27E-02
387	5.61E-02
388	5.28E-02
389	0.055235468
390	5.48E-02
391	0.05589667
392	5.72E-02
393	5.33E-02
394	5.34E-02
395	5.57E-02
396	5.93E-02
397	5.99E-02
398	0.061868493
399	6.56E-02
400	6.22E-02
401	6.01E-02
402	5.90E-02
403	5.86E-02
404	5.88E-02
405	5.87E-02
406	5.79E-02
407	0.059505783
408	0.063506044
409	6.85E-02
410	6.43E-02
411	6.29E-02
412	6.26E-02
413	6.15E-02
414	6.27E-02
415	6.45E-02
416	6.62E-02
417	6.53E-02
418	6.44E-02
419	6.42E-02
420	0.068631575
421	7.00E-02
422	6.89E-02
423	6.51E-02
424	6.51E-02
425	6.70E-02
426	7.03E-02
427	6.80E-02
428	6.85E-02
429	7.00E-02
430	6.83E-02
431	6.91E-02
432	7.01E-02
433	7.01E-02
434	7.01E-02
435	6.97E-02
436	6.92E-02
437	7.17E-02
438	0.073044665
439	0.073505312
440	7.32E-02
441	7.37E-02
442	7.44E-02
443	7.53E-02
444	7.49E-02
445	7.47E-02
446	0.074767642
447	7.55E-02
448	7.59E-02
449	7.64E-02
450	7.72E-02
451	7.69E-02
452	7.70E-02
453	7.77E-02
454	7.83E-02
455	7.91E-02
456	7.98E-02
457	7.92E-02
458	7.89E-02
459	7.96E-02
460	8.18E-02
461	8.12E-02
462	8.13E-02
463	8.23E-02
464	8.34E-02
465	8.33E-02
466	8.27E-02
467	8.31E-02
468	8.33E-02
469	8.29E-02
470	8.14E-02
471	8.23E-02
472	8.31E-02
473	8.38E-02
474	8.63E-02
475	8.60E-02
476	8.52E-02
477	8.65E-02
478	8.64E-02
479	8.67E-02
480	8.81E-02
481	0.087638721
482	8.75E-02
483	8.77E-02
484	8.93E-02
485	9.00E-02
486	8.98E-02
487	8.82E-02
488	8.96E-02
489	9.10E-02
490	9.18E-02
491	9.09E-02
492	9.18E-02
493	0.093109056
494	9.17E-02
495	9.20E-02
496	9.24E-02
497	9.24E-02
498	0.093687505
499	9.45E-02
500	9.47E-02
501	9.49E-02
502	0.095402829
503	9.59E-02
504	0.096212812
505	9.60E-02
506	0.095829964
507	9.59E-02
508	9.74E-02
509	9.82E-02
510	9.84E-02
511	9.88E-02
512	9.93E-02
513	9.99E-02
514	0.101123139
515	0.100509249
516	0.100623652
517	0.101726763
518	0.102097504
519	0.102931529
520	0.103804819
521	0.103780821
522	0.104152091
523	0.104616985
524	0.105061017
525	0.105728842
526	0.105987862
527	0.105997637
528	0.107391916
529	0.107681721
530	0.107738294
531	0.108650737
532	0.108878516
533	0.109187432
534	0.109800413
535	0.1103191
536	0.110839069
537	0.111407138
538	0.112263918
539	0.112435348
540	0.112674981
541	0.113660619
542	0.114231385
543	0.114662409
544	0.115000471
545	0.115387902
546	0.11597117
547	0.116627604
548	0.117090985
549	0.118127227
550	0.118807808
551	0.118545398
552	0.119234256
553	0.119648971
554	0.119778126
555	0.120481655
556	0.121350907
557	0.122150689
558	0.122479491
559	0.12280196
560	0.123126708
561	0.12345732
562	0.124077931
563	0.124653153
564	0.125139564
565	0.125329971
566	0.125996575
567	0.126697585
568	0.127020836
569	0.127334803
570	0.127936453
571	0.128871843
572	0.129188076
573	0.129724935
574	0.130337819
575	0.130646929
576	0.131253153
577	0.131760851
578	0.131905958
579	0.131821558
580	0.132054612
581	0.132612258
582	0.132942259
583	0.132900059
584	0.132809699
585	0.133245513
586	0.133791
587	0.134068385
588	0.133867666
589	0.134803668
590	0.135119408
591	0.135022566
592	0.136189684
593	0.136798292
594	0.137345165
595	0.13835004
596	0.138273433
597	0.138636276
598	0.139804095
599	0.14042896
600	0.140819922
601	0.141039282
602	0.141216338
603	0.141761646
604	0.142249614
605	0.142370731
606	0.142939076
607	0.143374488
608	0.143610939
609	0.143789724
610	0.144191042
611	0.144741863
612	0.14537698
613	0.145739317
614	0.145793885
615	0.145458117
616	0.146303803
617	0.147083431
618	0.147732481
619	0.148288727
620	0.148102909
621	0.147819623
622	0.14814803
623	0.147816882
624	0.14775911
625	0.148228943
626	0.149021626
627	0.149321809
628	0.149260223
629	0.149148747
630	0.149457246
631	0.149838999
632	0.150066018
633	0.150410727
634	0.151035517
635	0.151907504
636	0.151859596
637	0.151770458
638	0.151805863
639	0.152397022
640	0.152923286
641	0.15335311
642	0.153649822
643	0.15365617
644	0.154162854
645	0.155068606
646	0.155294746
647	0.155096471
648	0.154970214
649	0.155610681
650	0.155900538
651	0.156375423
652	0.157209471
653	0.157125682
654	0.157066703
655	0.157071233
656	0.157289907
657	0.158113942
658	0.158875912
659	0.159010097
660	0.159067422
661	0.159137234
662	0.159259811
663	0.160005838
664	0.16025117
665	0.160269335
666	0.160594136
667	0.161165312
668	0.161667943
669	0.161919668
670	0.16242753
671	0.162726685
672	0.162813008
673	0.162932083
674	0.163147271
675	0.163489252
676	0.164070204
677	0.163944349
678	0.16398409
679	0.164482147
680	0.164858922
681	0.165097564
682	0.165269211
683	0.165676326
684	0.166009098
685	0.166375443
686	0.166887298
687	0.167114124
688	0.16731137
689	0.167525187
690	0.167776719
691	0.168082803
692	0.168367654
693	0.168419972
